,Inputs,response,category
667,휴직 후 동일 업무 복직 시 배치전 건강진단 필요 여부,동일 업무로 복직 시 기존 주기대로 특수건강진단을 실시하면 됨.,건강진단 및 건강관리
670,근로자 건강진단 결과표 열람 가능 범위,유소견자의 경우 작업 전환 등 필요한 경우에만 제한적으로 열람 가능함.,건강진단 및 건강관리
127,건설공사 안전관리자 상주 여부,공사 종료 후 시운전 등 병행 시 안전관리자 상주 필요 없음.,건설업 안전관리
130,건설업 안전관리자 선임 기준 공사 금액 포함 항목,"공사금액에는 재료비, 노무비, 경비, 부가가치세 포함.",건설업 안전관리
132,건설업 안전관리자 선임 기준,2020.7.1 이후 공사금액 100억 이상부터 착공 시 안전관리자 선임 필요.,건설업 안전관리
135,유해위험방지계획서 제출공사 안전관리자 선임 기준,50억~120억 미만 현장은 도급인의 총 공사금액 기준으로 안전관리자 선임.,건설업 안전관리
137,철거공사 안전관리자 선임 기준,철거공사만 이루어지는 기간에는 최소 안전관리자 수 이상 선임 필요.,건설업 안전관리
140,관계수급인의 공사금액에 따른 안전관리자 선임 여부,50억~100억 미만 협력업체도 안전관리자 선임 필요함.,건설업 안전관리
141,건설업 안전관리자 정규직 고용 필요성,"현행 법령상 특정 직렬의 고용형태를 정규직으로 강제하기는 어려우나, 고용형태가 안전관리업무에 영향을 줄 수 있음.",건설업 안전관리
143,안전관리자 선임 시 공사금액 적용 기준,건설업 안전관리자 선임 기준은 공사금액과 관계없이 건축 및 토목 모든 공사에 동일 적용됨.,건설업 안전관리
144,유해위험방지계획서 대상 건설현장의 안전관리자,"원청은 관계수급인의 공사금액 포함하여 안전관리자 선임하고, 일부 예외 상황에서 기존 선임 인정됨.",건설업 안전관리
145,안전관리자 선임보고서의 개선 필요성,"안전관리자, 보건관리자, 산업보건의 선임 보고서 양식을 별도 분리하는 방안 검토 중.",건설업 안전관리
146,건설현장 안전관리자 중도퇴사 시 과태료 책임,"중도퇴사로 인한 안전관리자 미선임 시, 관계수급사에 과태료 부과.",건설업 안전관리
147,주계약자 관리 방식의 안전관리자 선임 기준,주계약자의 공사금액 기준으로 안전관리자 선임 여부 결정됨.,건설업 안전관리
150,건설업 본사에서 안전관리자 선임 필요 여부,본사는 안전관리자 선임 대상에 포함되지 않음.,건설업 안전관리
151,건설업 도급사업의 안전관리자 선임 기준,원도급과 관계수급인 각각 공사금액 기준에 따라 안전관리자 선임 필요.,건설업 안전관리
153,"500명 사업장에서 A사 250명, B사 250명일 경우 안전관리자 선임",도급사업에서 수급인 근로자 합산 시 300인 초과하면 안전관리자 선임 필요.,건설업 안전관리
154,안전관리자 선임 기준과 재해예방 기술지도 적용,안전관리자와 재해예방지도 모두 해당할 경우 각각 적용.,건설업 안전관리
155,토목공사 현장 협력사 안전관리자 추가 선임 기준,협력사 공사 중단 시 해당 공사금액은 원청에서 추가 선임 필요 없음.,건설업 안전관리
156,발주처와의 소규모 계약 안전관리자 선임 기준,총 공사금액이 120억 이하인 경우 안전관리자 공동선임 가능.,건설업 안전관리
165,발전소 건설공사의 장기계속공사 여부 및 안전관리자 선임 기준,공사 착공 시점에 따라 해당 규정이 적용되며 장기계속공사의 경우 예외 조항 있음.,건설업 안전관리
166,안전관리자 선임 기준 및 적용 여부,"음식료품제조업 원청에서 안전관리자를 직접 채용, 전담 선임하는 것은 적법함.",건설업 안전관리
